571;592;610;622;642;656;674;682;697;709;720;732;736
571;589;606;624;640;655;671;681;695;712;719;730;738
572;590;608;627;644;658;670;682;699;710;718;731;739
572;587;605;624;641;658;673;684;699;709;718;734;738
571;591;605;623;641;658;673;685;697;712;718;733;737
570;590;607;624;643;657;673;687;699;709;720;730;736
567;592;605;627;640;656;672;685;699;706;721;732;736
570;588;609;627;638;655;672;686;697;710;721;733;736
569;590;606;625;640;654;672;686;698;710;721;730;736
568;588;610;622;641;654;671;686;697;707;722;732;737
566;592;610;624;639;654;672;686;696;711;723;734;737
567;591;610;628;638;655;670;686;697;711;723;732;740
569;588;610;627;641;656;670;687;697;709;723;730;740
571;590;604;623;640;656;671;686;696;707;723;731;740
571;588;609;624;638;658;674;687;699;711;722;734;740
571;590;608;627;641;658;675;687;697;711;720;734;739
572;592;609;624;641;658;673;687;697;708;720;734;738
572;589;606;624;639;658;671;686;698;711;719;734;738
573;589;608;625;640;659;670;685;696;712;721;734;738
570;589;612;627;642;658;674;685;697;708;722;734;739
569;588;608;624;639;657;673;684;695;711;723;735;739
567;592;608;624;639;654;671;685;698;711;724;735;739
569;595;605;626;642;655;670;685;695;709;721;732;739
572;593;608;624;643;656;674;685;698;711;720;730;739
577;589;609;625;644;658;672;684;696;710;720;731;738
574;589;608;626;644;657;669;684;698;707;721;733;735
571;591;610;623;643;655;672;684;696;710;721;735;737
569;592;605;626;643;657;673;684;697;708;721;735;738
573;592;606;623;643;658;671;684;695;706;720;734;739
575;591;607;627;644;656;671;684;697;710;719;731;738
574;593;606;623;643;654;674;682;695;709;718;731;735
572;594;609;627;642;656;671;683;698;707;719;734;737
569;590;608;623;640;657;670;682;695;706;722;735;739
570;590;611;626;640;658;673;682;697;709;722;736;740
571;593;610;625;640;654;674;681;697;708;723;737;736
573;591;610;624;639;655;670;681;697;705;723;737;737
568;594;610;625;639;656;670;681;698;705;722;736;738
563;596;606;627;640;657;672;682;696;708;721;737;739
567;592;607;624;641;658;672;683;697;708;721;737;738
572;591;606;624;641;657;671;684;695;706;721;737;735
574;592;606;627;642;656;669;686;698;705;720;737;734
566;592;608;626;642;653;672;687;697;705;719;737;736
564;591;606;626;644;654;672;687;698;708;718;737;736
572;590;609;623;642;654;669;684;695;709;717;736;736
575;592;609;624;641;655;669;683;698;709;717;736;736
568;594;609;625;644;653;671;684;697;709;716;736;737
566;592;609;625;641;654;673;686;698;708;719;735;737
573;590;604;626;642;653;670;687;699;706;721;734;736
571;590;605;628;641;654;668;687;697;707;721;733;736
566;592;607;627;642;652;669;687;700;709;721;736;736
571;591;607;628;642;653;670;683;696;710;720;736;736
576;588;610;626;642;656;670;685;699;708;718;734;736
568;589;611;626;644;657;668;687;697;707;718;732;735
566;592;609;623;641;658;666;687;698;705;718;735;735
572;591;610;626;642;657;669;683;698;707;718;733;737
574;588;608;627;645;657;672;684;697;709;717;731;739
567;591;607;629;641;654;670;685;698;709;718;735;740
565;591;610;626;641;653;669;686;696;707;720;734;740
573;589;608;628;643;655;673;687;697;705;719;732;740
575;592;609;622;641;656;673;684;697;707;719;735;741
567;591;611;623;642;653;672;683;695;709;716;733;740
565;592;610;620;642;653;670;683;699;708;718;730;739
572;593;611;623;642;655;672;683;699;707;720;731;737
570;591;609;622;644;655;674;683;698;705;718;734;736
568;594;607;624;642;653;673;684;696;708;717;733;735
573;591;609;625;644;655;671;684;696;709;719;731;738
575;591;608;626;642;656;670;686;699;709;720;730;738
567;592;610;627;642;656;671;686;701;708;716;732;736
571;588;612;626;643;655;673;687;701;707;714;733;735
574;587;610;628;643;654;674;687;699;706;715;731;738
564;591;607;626;640;653;672;687;697;710;716;732;737
570;591;610;626;643;653;670;686;701;711;717;733;734
571;592;610;623;641;654;670;684;701;710;717;730;737
565;591;611;627;644;654;672;682;700;708;716;733;738
572;589;610;626;641;655;674;684;698;709;716;732;739
569;592;608;629;644;655;674;685;699;712;716;734;738
566;594;610;626;641;655;672;686;700;710;719;733;737
574;593;612;626;644;656;670;687;698;708;720;735;737
563;591;611;626;641;652;670;688;699;710;720;732;737
569;589;607;628;643;653;673;689;701;710;719;735;737
568;588;610;626;642;654;673;688;698;708;717;733;737
566;589;611;625;643;656;671;687;698;706;716;735;738
571;590;609;625;642;656;670;686;700;709;718;732;738
561;592;608;627;642;654;674;686;700;709;720;735;738
571;594;609;627;643;652;672;685;699;707;719;732;739
569;594;610;628;642;653;670;685;698;710;718;735;739
562;593;611;626;644;653;673;684;697;709;717;735;738
572;592;610;623;644;655;674;685;697;707;717;733;738
566;592;606;623;642;654;673;685;697;710;717;736;738
571;591;605;624;644;656;672;686;698;708;718;734;739
569;589;605;626;641;654;670;685;699;711;721;733;739
565;589;606;626;642;656;670;686;699;710;720;737;738
575;592;607;626;642;654;671;685;700;708;721;734;738
567;593;607;626;641;655;673;685;699;711;721;734;737
570;593;607;626;643;653;673;685;699;708;720;735;734
574;593;608;626;643;655;673;686;696;709;720;733;734
563;592;611;627;642;657;673;686;695;710;720;734;737
568;590;610;626;644;659;674;686;695;708;719;736;738
573;589;609;629;641;657;673;686;697;706;717;734;735
564;593;607;627;644;655;673;686;699;709;722;736;737
