0,338;0,38;0,424;0,459;0,494;0,524;0,555;0,579;0,598;0,622;0,638;0,658;0,676
0,337;0,379;0,426;0,457;0,493;0,524;0,556;0,574;0,584;0,622;0,639;0,657;0,676
0,338;0,382;0,425;0,458;0,494;0,526;0,555;0,578;0,587;0,624;0,639;0,658;0,676
0,34;0,381;0,423;0,457;0,493;0,526;0,554;0,577;0,599;0,623;0,64;0,657;0,675
0,339;0,383;0,424;0,46;0,493;0,525;0,554;0,575;0,613;0,62;0,637;0,658;0,675
0,339;0,382;0,424;0,458;0,494;0,523;0,555;0,578;0,62;0,622;0,642;0,657;0,676
0,337;0,382;0,422;0,46;0,493;0,523;0,553;0,575;0,589;0,624;0,639;0,659;0,675
0,334;0,38;0,424;0,458;0,496;0,526;0,552;0,572;0,581;0,621;0,64;0,658;0,677
0,334;0,377;0,426;0,46;0,495;0,525;0,555;0,576;0,599;0,624;0,638;0,659;0,676
0,34;0,375;0,424;0,46;0,493;0,524;0,554;0,578;0,619;0,625;0,639;0,66;0,678
0,34;0,373;0,425;0,46;0,494;0,525;0,553;0,575;0,601;0,622;0,638;0,66;0,677
0,338;0,375;0,427;0,462;0,494;0,526;0,554;0,577;0,584;0,622;0,638;0,661;0,676
0,339;0,378;0,424;0,46;0,495;0,524;0,555;0,578;0,599;0,624;0,639;0,659;0,675
0,339;0,379;0,424;0,457;0,492;0,523;0,554;0,575;0,618;0,621;0,639;0,66;0,675
0,342;0,378;0,423;0,46;0,493;0,526;0,553;0,579;0,597;0,62;0,64;0,66;0,676
0,341;0,378;0,421;0,461;0,493;0,526;0,555;0,579;0,587;0,624;0,64;0,66;0,675
0,34;0,377;0,424;0,459;0,492;0,524;0,554;0,576;0,611;0,624;0,641;0,662;0,676
0,338;0,377;0,425;0,46;0,492;0,524;0,552;0,583;0,602;0,623;0,64;0,659;0,675
0,339;0,379;0,423;0,459;0,496;0,526;0,553;0,582;0,584;0,622;0,641;0,661;0,676
0,34;0,381;0,421;0,458;0,496;0,526;0,556;0,578;0,609;0,624;0,642;0,66;0,677
0,341;0,382;0,424;0,461;0,495;0,525;0,555;0,577;0,611;0,624;0,639;0,662;0,676
0,339;0,382;0,424;0,461;0,494;0,523;0,552;0,58;0,586;0,621;0,641;0,66;0,677
0,339;0,381;0,423;0,458;0,493;0,525;0,553;0,577;0,605;0,622;0,641;0,66;0,676
0,338;0,381;0,423;0,459;0,494;0,528;0,554;0,578;0,615;0,621;0,641;0,659;0,676
0,339;0,378;0,423;0,46;0,496;0,526;0,553;0,578;0,586;0,621;0,64;0,661;0,677
0,342;0,378;0,42;0,458;0,497;0,526;0,552;0,573;0,604;0,623;0,639;0,661;0,676
0,339;0,379;0,421;0,458;0,496;0,527;0,552;0,573;0,616;0,622;0,64;0,66;0,678
0,338;0,38;0,426;0,46;0,496;0,527;0,554;0,576;0,587;0,62;0,639;0,661;0,677
0,337;0,381;0,423;0,458;0,493;0,529;0,555;0,576;0,604;0,619;0,639;0,66;0,677
0,336;0,379;0,42;0,478;0,494;0,529;0,552;0,575;0,613;0,62;0,639;0,661;0,677
0,34;0,38;0,423;0,476;0,496;0,527;0,553;0,576;0,587;0,62;0,639;0,66;0,676
0,337;0,382;0,424;0,469;0,498;0,526;0,555;0,579;0,614;0,621;0,64;0,659;0,676
0,336;0,382;0,422;0,464;0,497;0,525;0,554;0,578;0,597;0,62;0,64;0,662;0,676
0,336;0,383;0,421;0,464;0,496;0,527;0,553;0,576;0,594;0,62;0,64;0,66;0,675
0,337;0,381;0,424;0,462;0,495;0,528;0,554;0,577;0,613;0,619;0,639;0,662;0,676
0,341;0,377;0,422;0,459;0,495;0,529;0,552;0,579;0,586;0,621;0,641;0,659;0,677
0,338;0,375;0,421;0,458;0,495;0,529;0,552;0,578;0,613;0,622;0,642;0,662;0,676
0,336;0,377;0,427;0,46;0,496;0,527;0,555;0,575;0,589;0,621;0,642;0,661;0,675
0,337;0,377;0,426;0,461;0,497;0,527;0,552;0,574;0,602;0,623;0,64;0,662;0,677
0,337;0,378;0,424;0,461;0,496;0,528;0,552;0,576;0,607;0,622;0,641;0,66;0,678
0,339;0,378;0,426;0,46;0,495;0,528;0,553;0,575;0,593;0,62;0,642;0,659;0,676
0,341;0,379;0,425;0,461;0,494;0,526;0,551;0,575;0,617;0,623;0,642;0,661;0,676
0,338;0,381;0,425;0,462;0,496;0,525;0,555;0,577;0,588;0,623;0,641;0,658;0,676
0,342;0,382;0,424;0,461;0,497;0,526;0,551;0,579;0,61;0,621;0,641;0,66;0,676
0,34;0,382;0,423;0,461;0,496;0,526;0,552;0,579;0,595;0,62;0,642;0,659;0,676
0,337;0,381;0,427;0,463;0,494;0,528;0,554;0,575;0,602;0,623;0,643;0,66;0,676
0,337;0,377;0,426;0,464;0,494;0,527;0,552;0,577;0,608;0,623;0,642;0,659;0,676
0,341;0,376;0,423;0,462;0,496;0,526;0,551;0,578;0,595;0,622;0,641;0,659;0,676
0,343;0,377;0,426;0,463;0,496;0,528;0,555;0,579;0,609;0,621;0,641;0,66;0,675
0,338;0,379;0,426;0,463;0,495;0,527;0,552;0,581;0,594;0,621;0,642;0,659;0,675
0,338;0,38;0,427;0,46;0,495;0,527;0,552;0,58;0,614;0,623;0,642;0,661;0,676
0,338;0,381;0,426;0,461;0,497;0,53;0,553;0,576;0,592;0,625;0,641;0,66;0,676
0,339;0,38;0,423;0,463;0,497;0,528;0,551;0,577;0,612;0,624;0,64;0,661;0,676
0,339;0,38;0,424;0,46;0,495;0,529;0,553;0,578;0,59;0,624;0,64;0,661;0,677
0,339;0,382;0,427;0,462;0,497;0,528;0,55;0,579;0,615;0,624;0,641;0,661;0,676
0,338;0,382;0,425;0,461;0,495;0,53;0,552;0,577;0,59;0,624;0,642;0,661;0,675
0,337;0,383;0,424;0,46;0,496;0,528;0,553;0,579;0,612;0,625;0,643;0,651;0,677
0,339;0,383;0,427;0,462;0,496;0,529;0,551;0,579;0,591;0,625;0,642;0,656;0,674
